漏洞 ID, 发现时间，目标 IP, 漏洞类型，漏洞等级，验证状态
VUL-001,2026-03-04,101.32.254.187, 未授权 API 访问，高危，已验证
VUL-002,2026-03-04,103.122.5.202, 未授权 API 访问，高危，已验证
VUL-003,2026-03-04,104.131.105.148, 未授权 API 访问，高危，已验证
VUL-004,2026-03-04,104.131.164.32, 未授权 API 访问，高危，已验证
VUL-005,2026-03-04,104.131.63.123, 未授权 API 访问，高危，已验证
VUL-006,2026-03-04,118.196.65.185, 未授权 API 访问，高危，已验证
VUL-007,2026-03-04,13.212.155.170, 未授权 API 访问，高危，已验证
VUL-008,2026-03-04,134.122.46.173, 未授权 API 访问，高危，已验证
VUL-009,2026-03-04,134.199.194.220, 未授权 API 访问，高危，已验证
VUL-010,2026-03-04,134.199.232.158, 未授权 API 访问，高危，已验证
VUL-011,2026-03-04,134.209.100.220, 未授权 API 访问，高危，已验证
VUL-012,2026-03-04,138.68.152.205, 未授权 API 访问，高危，已验证
VUL-013,2026-03-04,138.68.66.149, 未授权 API 访问，高危，已验证
VUL-014,2026-03-04,142.93.167.92, 未授权 API 访问，高危，已验证
VUL-015,2026-03-04,152.42.197.31, 未授权 API 访问，高危，已验证
VUL-016,2026-03-04,157.245.11.65, 未授权 API 访问，高危，已验证
VUL-017,2026-03-04,159.223.57.60, 未授权 API 访问，高危，已验证
VUL-018,2026-03-04,160.187.146.70, 未授权 API 访问，高危，已验证
VUL-019,2026-03-04,167.71.155.225, 未授权 API 访问，高危，已验证
VUL-020,2026-03-04,3.97.131.16, 未授权 API 访问，高危，已验证
VUL-021,2026-03-04,38.150.2.10, 未授权 API 访问，高危，已验证

总计：21 个漏洞
